Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1996M05,"May  1996",IN0001.01,"All food",82.45,,,3.02387,,,1.52691,,
1996M05,"May  1996",IN0001.02,"Food",84.44,,,5.16876,,,1.25914,,
1996M05,"May  1996",IN0001.03,"Tropical beverages",78.36,,,-18.14478,,,3.06458,,
1996M05,"May  1996",IN0001.04,"Vegetable oilseeds and oils",81.32,,,15.08633,,,1.18203,,
1996M05,"May  1996",IN0001.06,"Agricultural raw materials",91.16,,,-13.49402,,,1.77515,,
1996M05,"May  1996",IN0001.07,"Minerals, ores and metals",44.17,,,1.33058,,,0.36355,,
1996M05,"May  1996",IN0001.08,"Minerals, ores and non-precious metals",57.05,,,1.71154,,,0.86634,,
1996M05,"May  1996",IN0001.09,"Precious metals",33.99,,,0.80071,,,-0.29334,,
1996M05,"May  1996",IN0001.10,"Fuels",40.65,,,6.80504,,,-5.42113,,
1996M05,"May  1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M05,"May  1996",IN0001.05,"Tropical beverages and food",82.94,,,-1.36758,,,1.66708,,
1996M05,"May  1996",IN0001.22,"All groups excl. fuels",62.02,,,-0.33746,,,1.10858,,
1996M05,"May  1996",IN0001.23,"All groups excl. precious metals",50.79,,,3.44196,,,-2.5518,,
1996M05,"May  1996",IN0001.24,"All groups excl. precious metals and fuels",74.64,,,-0.5728,,,1.39927,,
1996M06,"June 1996",IN0001.20,"All groups",48.14,,,3.68296,,,-1.35246,,
1996M06,"June 1996",IN0001.01,"All food",81.08,,,0.53317,,,-1.66161,,
1996M06,"June 1996",IN0001.02,"Food",85.21,,,2.73692,,,0.91189,,
1996M06,"June 1996",IN0001.03,"Tropical beverages",74.84,,,-15.59716,,,-4.49209,,
1996M06,"June 1996",IN0001.04,"Vegetable oilseeds and oils",77.46,,,7.40433,,,-4.74668,,
1996M06,"June 1996",IN0001.06,"Agricultural raw materials",88.88,,,-10.23129,,,-2.5011,,
1996M06,"June 1996",IN0001.07,"Minerals, ores and metals",41.65,,,-6.44654,,,-5.70523,,
1996M06,"June 1996",IN0001.08,"Minerals, ores and non-precious metals",52.18,,,-10.14293,,,-8.53637,,
1996M06,"June 1996",IN0001.09,"Precious metals",33.34,,,-1.39012,,,-1.91233,,
1996M06,"June 1996",IN0001.10,"Fuels",40.88,,,11.63299,,,0.56581,,
1996M06,"June 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M06,"June 1996",IN0001.05,"Tropical beverages and food",82.65,,,-2.01541,,,-0.34965,,
1996M06,"June 1996",IN0001.22,"All groups excl. fuels",59.92,,,-3.88194,,,-3.386,,
1996M06,"June 1996",IN0001.23,"All groups excl. precious metals",50.13,,,4.15541,,,-1.29947,,
1996M06,"June 1996",IN0001.24,"All groups excl. precious metals and fuels",71.89,,,-4.38888,,,-3.68435,,
1996M07,"Jul. 1996",IN0001.20,"All groups",48.72,,,8.82287,,,1.20482,,
1996M07,"Jul. 1996",IN0001.01,"All food",80.13,,,-1.06186,,,-1.17168,,
1996M07,"Jul. 1996",IN0001.02,"Food",85.35,,,2.0933,,,0.1643,,
1996M07,"Jul. 1996",IN0001.03,"Tropical beverages",69.96,,,-16.82321,,,-6.52058,,
1996M07,"Jul. 1996",IN0001.04,"Vegetable oilseeds and oils",76.84,,,2.89234,,,-0.80041,,
1996M07,"Jul. 1996",IN0001.06,"Agricultural raw materials",88.79,,,-1.95451,,,-0.10126,,
1996M07,"Jul. 1996",IN0001.07,"Minerals, ores and metals",40.72,,,-9.71175,,,-2.23289,,
1996M07,"Jul. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.3,,,-15.6889,,,-3.60291,,
1996M07,"Jul. 1996",IN0001.09,"Precious metals",33.16,,,-1.30952,,,-0.53989,,
1996M07,"Jul. 1996",IN0001.10,"Fuels",42.34,,,23.94614,,,3.57143,,
1996M07,"Jul. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M07,"Jul. 1996",IN0001.05,"Tropical beverages and food",81.56,,,-2.59166,,,-1.31881,,
1996M07,"Jul. 1996",IN0001.22,"All groups excl. fuels",59.06,,,-4.69582,,,-1.43525,,
1996M07,"Jul. 1996",IN0001.23,"All groups excl. precious metals",50.81,,,9.81197,,,1.35647,,
1996M07,"Jul. 1996",IN0001.24,"All groups excl. precious metals and fuels",70.73,,,-5.36527,,,-1.61358,,
1996M08,"Aug. 1996",IN0001.20,"All groups",48.53,,,7.27233,,,-0.38998,,
1996M08,"Aug. 1996",IN0001.01,"All food",78.26,,,-1.7328,,,-2.33371,,
1996M08,"Aug. 1996",IN0001.02,"Food",80.26,,,-0.52058,,,-5.96368,,
1996M08,"Aug. 1996",IN0001.03,"Tropical beverages",71.21,,,-19.61847,,,1.78674,,
1996M08,"Aug. 1996",IN0001.04,"Vegetable oilseeds and oils",78.78,,,8.31844,,,2.52473,,
1996M08,"Aug. 1996",IN0001.06,"Agricultural raw materials",89.43,,,-3.57951,,,0.7208,,
1996M08,"Aug. 1996",IN0001.07,"Minerals, ores and metals",41.02,,,-9.3681,,,0.73674,,
1996M08,"Aug. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.51,,,-16.05451,,,0.4175,,
1996M08,"Aug. 1996",IN0001.09,"Precious metals",33.51,,,0.08961,,,1.05549,,
1996M08,"Aug. 1996",IN0001.10,"Fuels",42.3,,,20.78812,,,-0.09447,,
1996M08,"Aug. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M08,"Aug. 1996",IN0001.05,"Tropical beverages and food",78.03,,,-5.56699,,,-4.3281,,
1996M08,"Aug. 1996",IN0001.22,"All groups excl. fuels",58.64,,,-5.11327,,,-0.71114,,
1996M08,"Aug. 1996",IN0001.23,"All groups excl. precious metals",50.55,,,7.96668,,,-0.51171,,
1996M08,"Aug. 1996",IN0001.24,"All groups excl. precious metals and fuels",69.95,,,-6.17036,,,-1.10279,,
1996M09,"Sep. 1996",IN0001.20,"All groups",49.46,,,9.54596,,,1.91634,,
1996M09,"Sep. 1996",IN0001.01,"All food",76.61,,,-0.44185,,,-2.10836,,
1996M09,"Sep. 1996",IN0001.02,"Food",77.69,,,-0.65217,,,-3.20209,,
1996M09,"Sep. 1996",IN0001.03,"Tropical beverages",67.45,,,-15.31701,,,-5.28016,,
1996M09,"Sep. 1996",IN0001.04,"Vegetable oilseeds and oils",79.94,,,9.17782,,,1.47245,,
1996M09,"Sep. 1996",IN0001.06,"Agricultural raw materials",91.2,,,1.87668,,,1.9792,,
1996M09,"Sep. 1996",IN0001.07,"Minerals, ores and metals",40.41,,,-8.73984,,,-1.48708,,
1996M09,"Sep. 1996",IN0001.08,"Minerals, ores and non-precious metals",49.64,,,-14.38427,,,-1.72243,,
1996M09,"Sep. 1996",IN0001.09,"Precious metals",33.12,,,-0.98655,,,-1.16383,,
1996M09,"Sep. 1996",IN0001.10,"Fuels",44.26,,,23.01278,,,4.63357,,
1996M09,"Sep. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M09,"Sep. 1996",IN0001.05,"Tropical beverages and food",75.17,,,-4.31517,,,-3.66526,,
1996M09,"Sep. 1996",IN0001.22,"All groups excl. fuels",57.9,,,-3.51608,,,-1.26194,,
1996M09,"Sep. 1996",IN0001.23,"All groups excl. precious metals",51.66,,,10.57363,,,2.19585,,
1996M09,"Sep. 1996",IN0001.24,"All groups excl. precious metals and fuels",69.06,,,-4.03002,,,-1.27234,,
1996M10,"Oct. 1996",IN0001.20,"All groups",51.54,,,15.01897,,,4.20542,,
1996M10,"Oct. 1996",IN0001.01,"All food",73.73,,,-5.60748,,,-3.7593,,
1996M10,"Oct. 1996",IN0001.02,"Food",75.01,,,-6.1906,,,-3.44961,,
1996M10,"Oct. 1996",IN0001.03,"Tropical beverages",69.03,,,-10.52495,,,2.34248,,
1996M10,"Oct. 1996",IN0001.04,"Vegetable oilseeds and oils",74.16,,,-1.69671,,,-7.23042,,
1996M10,"Oct. 1996",IN0001.06,"Agricultural raw materials",90.23,,,-1.31248,,,-1.0636,,
1996M10,"Oct. 1996",IN0001.07,"Minerals, ores and metals",39.88,,,-8.32184,,,-1.31156,,
1996M10,"Oct. 1996",IN0001.08,"Minerals, ores and non-precious metals",48.74,,,-13.48953,,,-1.81305,,
1996M10,"Oct. 1996",IN0001.09,"Precious metals",32.88,,,-1.43885,,,-0.72464,,
1996M10,"Oct. 1996",IN0001.10,"Fuels",48.47,,,37.11457,,,9.51197,,
1996M10,"Oct. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M10,"Oct. 1996",IN0001.05,"Tropical beverages and food",73.54,,,-7.22846,,,-2.16842,,
1996M10,"Oct. 1996",IN0001.22,"All groups excl. fuels",56.51,,,-6.06715,,,-2.40069,,
1996M10,"Oct. 1996",IN0001.23,"All groups excl. precious metals",54.04,,,16.59115,,,4.60705,,
1996M10,"Oct. 1996",IN0001.24,"All groups excl. precious metals and fuels",67.15,,,-7.03309,,,-2.76571,,
1996M11,"Nov. 1996",IN0001.20,"All groups",51.9,,,11.94996,,,0.69849,,
1996M11,"Nov. 1996",IN0001.01,"All food",73.43,,,-5.58056,,,-0.40689,,
1996M11,"Nov. 1996",IN0001.02,"Food",74.78,,,-5.05333,,,-0.30663,,
1996M11,"Nov. 1996",IN0001.03,"Tropical beverages",68.4,,,-10.34212,,,-0.91265,,
1996M11,"Nov. 1996",IN0001.04,"Vegetable oilseeds and oils",73.97,,,-3.81014,,,-0.2562,,
1996M11,"Nov. 1996",IN0001.06,"Agricultural raw materials",89.47,,,-8.16054,,,-0.84229,,
1996M11,"Nov. 1996",IN0001.07,"Minerals, ores and metals",40.58,,,-8.52119,,,1.75527,,
1996M11,"Nov. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.7,,,-12.75168,,,4.02134,,
1996M11,"Nov. 1996",IN0001.09,"Precious metals",32.58,,,-2.74627,,,-0.91241,,
1996M11,"Nov. 1996",IN0001.10,"Fuels",48.93,,,31.28522,,,0.94904,,
1996M11,"Nov. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M11,"Nov. 1996",IN0001.05,"Tropical beverages and food",73.2,,,-6.33397,,,-0.46233,,
1996M11,"Nov. 1996",IN0001.22,"All groups excl. fuels",56.72,,,-7.16858,,,0.37162,,
1996M11,"Nov. 1996",IN0001.23,"All groups excl. precious metals",54.5,,,13.32917,,,0.85122,,
1996M11,"Nov. 1996",IN0001.24,"All groups excl. precious metals and fuels",67.59,,,-8.07834,,,0.65525,,
1996M12,"Dec. 1996",IN0001.20,"All groups",54.36,,,11.8979,,,4.73988,,
1996M12,"Dec. 1996",IN0001.01,"All food",73.7,,,-4.11137,,,0.3677,,
1996M12,"Dec. 1996",IN0001.02,"Food",75.37,,,-5.09947,,,0.78898,,
1996M12,"Dec. 1996",IN0001.03,"Tropical beverages",66.68,,,-1.20018,,,-2.51462,,
1996M12,"Dec. 1996",IN0001.04,"Vegetable oilseeds and oils",74.79,,,-3.78232,,,1.10856,,
1996M12,"Dec. 1996",IN0001.06,"Agricultural raw materials",89.29,,,-7.85346,,,-0.20118,,
1996M12,"Dec. 1996",IN0001.07,"Minerals, ores and metals",40.29,,,-9.03138,,,-0.71464,,
1996M12,"Dec. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.98,,,-11.84506,,,0.55227,,
1996M12,"Dec. 1996",IN0001.09,"Precious metals",31.85,,,-5.15188,,,-2.24064,,
1996M12,"Dec. 1996",IN0001.10,"Fuels",52.96,,,28.85645,,,8.23626,,
1996M12,"Dec. 1996",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1996M12,"Dec. 1996",IN0001.05,"Tropical beverages and food",73.23,,,-4.24948,,,0.04098,,
1996M12,"Dec. 1996",IN0001.22,"All groups excl. fuels",56.64,,,-6.67326,,,-0.14104,,
1996M12,"Dec. 1996",IN0001.23,"All groups excl. precious metals",57.39,,,13.44139,,,5.30275,,
1996M12,"Dec. 1996",IN0001.24,"All groups excl. precious metals and fuels",67.8,,,-6.99588,,,0.3107,,
1997M01,"Jan. 1997",IN0001.20,"All groups",53.34,,,8.9906,,,-1.87638,,
1997M01,"Jan. 1997",IN0001.01,"All food",76.84,,,-1.91473,,,4.26052,,
1997M01,"Jan. 1997",IN0001.02,"Food",77.32,,,-4.83692,,,2.58724,,
1997M01,"Jan. 1997",IN0001.03,"Tropical beverages",74.71,,,4.4019,,,12.04259,,
1997M01,"Jan. 1997",IN0001.04,"Vegetable oilseeds and oils",77.22,,,0.09073,,,3.2491,,
1997M01,"Jan. 1997",IN0001.06,"Agricultural raw materials",88.23,,,-5.21057,,,-1.18714,,
1997M01,"Jan. 1997",IN0001.07,"Minerals, ores and metals",40.64,,,-7.80399,,,0.8687,,
1997M01,"Jan. 1997",IN0001.08,"Minerals, ores and non-precious metals",53.18,,,-5.01875,,,4.31542,,
1997M01,"Jan. 1997",IN0001.09,"Precious metals",30.73,,,-11.38985,,,-3.51648,,
1997M01,"Jan. 1997",IN0001.10,"Fuels",50.58,,,21.41143,,,-4.49396,,
1997M01,"Jan. 1997",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1997M01,"Jan. 1997",IN0001.05,"Tropical beverages and food",76.68,,,-2.76439,,,4.71118,,
1997M01,"Jan. 1997",IN0001.22,"All groups excl. fuels",57.82,,,-4.7917,,,2.08333,,
1997M01,"Jan. 1997",IN0001.23,"All groups excl. precious metals",56.38,,,10.87512,,,-1.75989,,
1997M01,"Jan. 1997",IN0001.24,"All groups excl. precious metals and fuels",70.02,,,-3.36738,,,3.27434,,
1997M02,"Feb. 1997",IN0001.20,"All groups",49.08,,,-5.76037,,,-7.9865,,
1997M02,"Feb. 1997",IN0001.01,"All food",79.85,,,-0.08759,,,3.91723,,
1997M02,"Feb. 1997",IN0001.02,"Food",77.7,,,-6.31782,,,0.49146,,
1997M02,"Feb. 1997",IN0001.03,"Tropical beverages",88.68,,,13.67773,,,18.69897,,
1997M02,"Feb. 1997",IN0001.04,"Vegetable oilseeds and oils",78.57,,,3.73647,,,1.74825,,
1997M02,"Feb. 1997",IN0001.06,"Agricultural raw materials",87.94,,,-7.89694,,,-0.32869,,
1997M02,"Feb. 1997",IN0001.07,"Minerals, ores and metals",40.68,,,-8.0678,,,0.09843,,
1997M02,"Feb. 1997",IN0001.08,"Minerals, ores and non-precious metals",53.87,,,-3.3722,,,1.29748,,
1997M02,"Feb. 1997",IN0001.09,"Precious metals",30.27,,,-13.93233,,,-1.49691,,
1997M02,"Feb. 1997",IN0001.10,"Fuels",43.05,,,-6.83835,,,-14.88731,,
1997M02,"Feb. 1997",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1997M02,"Feb. 1997",IN0001.05,"Tropical beverages and food",80.41,,,-1.61507,,,4.86437,,
1997M02,"Feb. 1997",IN0001.22,"All groups excl. fuels",58.86,,,-4.44805,,,1.79869,,
1997M02,"Feb. 1997",IN0001.23,"All groups excl. precious metals",51.61,,,-5.0414,,,-8.46045,,
1997M02,"Feb. 1997",IN0001.24,"All groups excl. precious metals and fuels",71.74,,,-2.39456,,,2.45644,,
1997M03,"Mar. 1997",IN0001.20,"All groups",48.12,,,-4.10522,,,-1.95599,,
1997M03,"Mar. 1997",IN0001.01,"All food",83.32,,,4.54203,,,4.34565,,
1997M03,"Mar. 1997",IN0001.02,"Food",78.77,,,-5.97995,,,1.37709,,
1997M03,"Mar. 1997",IN0001.03,"Tropical beverages",99.57,,,31.4629,,,12.28011,,
1997M03,"Mar. 1997",IN0001.04,"Vegetable oilseeds and oils",81.98,,,9.49646,,,4.34008,,
1997M03,"Mar. 1997",IN0001.06,"Agricultural raw materials",88.15,,,-3.39726,,,0.2388,,
1997M03,"Mar. 1997",IN0001.07,"Minerals, ores and metals",41.42,,,-6.01316,,,1.81908,,
1997M03,"Mar. 1997",IN0001.08,"Minerals, ores and non-precious metals",54.88,,,-2.48756,,,1.87488,,
1997M03,"Mar. 1997",IN0001.09,"Precious metals",30.78,,,-10.60122,,,1.68484,,
1997M03,"Mar. 1997",IN0001.10,"Fuels",40.49,,,-6.91954,,,-5.94657,,
1997M03,"Mar. 1997",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1997M03,"Mar. 1997",IN0001.05,"Tropical beverages and food",83.9,,,2.56724,,,4.34026,,
1997M03,"Mar. 1997",IN0001.22,"All groups excl. fuels",60.5,,,-0.85218,,,2.78627,,
1997M03,"Mar. 1997",IN0001.23,"All groups excl. precious metals",50.45,,,-3.53728,,,-2.24763,,
1997M03,"Mar. 1997",IN0001.24,"All groups excl. precious metals and fuels",73.88,,,1.21935,,,2.98299,,
1997M04,"Apr. 1997",IN0001.20,"All groups",46.67,,,-6.62265,,,-3.0133,,
1997M04,"Apr. 1997",IN0001.01,"All food",83.61,,,2.9553,,,0.34806,,
1997M04,"Apr. 1997",IN0001.02,"Food",78.14,,,-6.29572,,,-0.7998,,
1997M04,"Apr. 1997",IN0001.03,"Tropical beverages",101.46,,,33.44732,,,1.89816,,
1997M04,"Apr. 1997",IN0001.04,"Vegetable oilseeds and oils",82.95,,,3.21015,,,1.18322,,
1997M04,"Apr. 1997",IN0001.06,"Agricultural raw materials",85.9,,,-4.09735,,,-2.55247,,
1997M04,"Apr. 1997",IN0001.07,"Minerals, ores and metals",40.32,,,-8.38446,,,-2.65572,,
1997M04,"Apr. 1997",IN0001.08,"Minerals, ores and non-precious metals",53.41,,,-5.56931,,,-2.67857,,
1997M04,"Apr. 1997",IN0001.09,"Precious metals",29.97,,,-12.08566,,,-2.63158,,
1997M04,"Apr. 1997",IN0001.10,"Fuels",38.59,,,-10.21405,,,-4.69252,,
1997M04,"Apr. 1997",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
1997M04,"Apr. 1997",IN0001.05,"Tropical beverages and food",83.89,,,2.83158,,,-0.01192,,
1997M04,"Apr. 1997",IN0001.22,"All groups excl. fuels",59.77,,,-2.5595,,,-1.20661,,
1997M04,"Apr. 1997",IN0001.23,"All groups excl. precious metals",48.91,,,-6.15886,,,-3.05253,,
1997M04,"Apr. 1997",IN0001.24,"All groups excl. precious metals and fuels",73.18,,,-0.58416,,,-0.94748,,
1997M05,"May  1997",IN0001.20,"All groups",48.95,,,0.30738,,,4.88537,,
1997M05,"May  1997",IN0001.01,"All food",85.04,,,3.1413,,,1.71032,,
1997M05,"May  1997",IN0001.02,"Food",77.35,,,-8.39649,,,-1.01101,,
1997M05,"May  1997",IN0001.03,"Tropical beverages",124.3,,,58.62685,,,22.51133,,
1997M05,"May  1997",IN0001.04,"Vegetable oilseeds and oils",76.1,,,-6.41909,,,-8.25799,,
1997M05,"May  1997",IN0001.06,"Agricultural raw materials",86.47,,,-5.1448,,,0.66356,,
1997M05,"May  1997",IN0001.07,"Minerals, ores and metals",40.98,,,-7.2221,,,1.6369,,
1997M05,"May  1997",IN0001.08,"Minerals, ores and non-precious metals",54.87,,,-3.82121,,,2.73357,,
